,c_Pnome_jogador,c_Unome_jogador,n_camisa,d_data_nascimento,c_posicao,c_nome_time
61,Pablo,Vegetti,99.0,1998-03-29,Atacante,Vasco
62,Lucas,Piton,6.0,2000-10-09,Zagueiro,Vasco
63,Guilherme,Arana,13.0,1997-04-14,Meio-Campo,Atletico-Mg
64,Deyverson,,9.0,1991-05-08,Atacante,Atletico-Mg
65,Paulo,,96.0,1993-06-30,Zagueiro,Vasco
66,Leandrinho,,66.0,1996-09-21,Meio-Campo,Vasco
67,Gabriel,Xavier,3.0,2001-05-06,Zagueiro,Bahia
68,Luciano,Rodriguez,17.0,1994-10-14,Atacante,Bahia
69,Gustavo,Vernes,13.0,1995-04-26,Zagueiro,Corinthians
70,Jean,Oliveira,6.0,2000-03-16,Meio-Campo,Bahia
71,Raniele,,14.0,1996-12-31,Meio-Campo,Corinthians
72,Titi,,4.0,1988-03-12,Zagueiro,Fortaleza
73,Emmanuel,Martinez,8.0,1994-06-04,Meio-Campo,Fortaleza
74,Gustavo,Mosquito,7.0,1995-02-27,Atacante,Vitoria
75,Jose,Hugo,17.0,1999-10-17,Atacante,Vitoria
76,Mario,Costa,11.0,1996-08-28,Meio-Campo,Fortaleza
77,Wagner,Leonardo,4.0,1999-07-23,Zagueiro,Vitoria
78,Lucas,Esteves,16.0,1998-02-03,Zagueiro,Vitoria
79,German,Cano,14.0,1988-02-02,Atacante,Fluminense
80,Paulo,Ganso,10.0,1991-07-21,Meio-Campo,Fluminense
81,Lima,,45.0,1996-06-11,Meio-Campo,Fluminense
82,Christian,Cardoso,88.0,1994-05-25,Meio-Campo,Athletico-Pr
83,Leo,Linck,24.0,2001-03-03,Goleiro,Athletico-Pr
84,Alvaro,Barreal,21.0,1996-12-02,Meio-Campo,Cruzeiro
85,Lucas,Evangelista,8.0,1995-05-06,Meio-Campo,Bragantino
86,Lucas,Romero,29.0,1993-02-22,Meio-Campo,Cruzeiro
87,Cleiton,Schwengber,1.0,1999-03-21,Goleiro,Bragantino
88,Wellington,Rato,27.0,1992-06-18,Meio-Campo,Sao Paulo
89,Cristian,Pavon,21.0,1996-01-21,Atacante,Gremio
90,Nicolas,Cruz,18.0,1998-02-07,Meio-Campo,Flamengo
91,Fernando,Reges,5.0,1998-08-14,Meio-Campo,Internacional
92,Gerson,Silva,8.0,1991-12-11,Meio-Campo,Flamengo
93,Rhaldney,,7.0,1998-11-20,Meio-Campo,Atletico-Go
94,Hugo,Moura,25.0,1998-01-03,Meio-Campo,Vasco
95,Luiz,Santos,11.0,1997-09-12,Meio-Campo,Atletico-Go
96,Dimitri,Payet,10.0,2000-04-28,Meio-Campo,Vasco
97,Matheuzinho,,2.0,2000-09-08,Zagueiro,Corinthians
98,Newton,,8.0,2000-03-12,Zagueiro,Criciuma
99,Rodrigo,Freitas,3.0,1998-06-17,Zagueiro,Criciuma
100,Fernando,Sobral,88.0,1994-12-17,Meio-Campo,Cuiaba
101,Jonathan,Cafu,7.0,1991-07-10,Atacante,Cuiaba
102,Max,Alves,10.0,1993-03-08,Meio-Campo,Cuiaba
103,Isidro,Pitta,9.0,1999-08-14,Atacante,Cuiaba
104,William,Furtado,12.0,1998-07-31,Zagueiro,Cruzeiro
105,Jemerson,Nascimento,28.0,1995-04-27,Zagueiro,Gremio
106,Thiago,Almada,23.0,1998-09-26,Meio-Campo,Botafogo-Rj
107,Gustavo,Gomez,15.0,1993-05-06,Zagueiro,Palmeiras
108,Alex,Telles,13.0,1994-01-06,Zagueiro,Botafogo-Rj
109,John,,12.0,1996-02-13,Goleiro,Botafogo-Rj
110,Mayke,,12.0,1992-11-10,Zagueiro,Palmeiras
111,Marcos,Rocha,2.0,1988-12-11,Zagueiro,Palmeiras
112,Erick,Pulgar,5.0,1994-01-15,Meio-Campo,Flamengo
113,Guillermo,Varela,2.0,1993-03-24,Zagueiro,Flamengo
114,Eros,Mancuso,33.0,1992-10-03,Zagueiro,Fortaleza
115,Gustavo,Barreto,88.0,1998-02-18,Meio-Campo,Criciuma
116,Jair,Junior,8.0,1995-04-16,Meio-Campo,Vasco
117,Pablo,Millan,27.0,1992-07-04,Meio-Campo,Vasco
118,Jose,Bebanz,2.0,1991-10-16,Meio-Campo,Vasco
119,Andre,Ramalho,5.0,1991-09-21,Zagueiro,Corinthians
120,Mycael,,41.0,2004-03-12,Goleiro,Athletico-Pr
121,Fernando,Junior,6.0,1996-03-09,Zagueiro,Athletico-Pr
122,Juninho,Capixaba,29.0,1997-07-06,Zagueiro,Bragantino
123,Rafael,Borre,19.0,1991-05-08,Atacante,Internacional
124,Mariano,,25.0,1986-06-23,Zagueiro,Atletico-Mg
125,Lyanco,,2.0,1998-07-20,Zagueiro,Atletico-Mg
126,Luciano,Neves,10.0,1997-06-02,Meio-Campo,Sao Paulo
127,Igor,Vinicius,2.0,1997-04-01,Zagueiro,Sao Paulo
128,Renzo,Saravia,26.0,1993-06-16,Zagueiro,Atletico-Mg
129,Paulo,Vitor,27.0,1988-07-26,Meio-Campo,Atletico-Mg
130,Ruan,Netto,22.0,1999-07-26,Zagueiro,Sao Paulo
131,Bruno,Alves,34.0,1991-04-16,Zagueiro,Cuiaba
132,Filipe,Souza,5.0,1996-04-14,Meio-Campo,Cuiaba
133,Jose,Lopez,42.0,2000-12-06,Atacante,Palmeiras
134,Jose,Vivian,8.0,1990-10-03,Meio-Campo,Palmeiras
135,Willian,,29.0,1986-11-19,Meio-Campo,Vitoria
136,Gregore,,26.0,1999-02-18,Meio-Campo,Botafogo-Rj
137,Cuiabano,,66.0,2003-02-16,Zagueiro,Botafogo-Rj
138,Tiquinho,Soares,9.0,1991-01-17,Atacante,Botafogo-Rj
139,Patric,,14.0,1989-03-25,Zagueiro,Vitoria
140,Mateo,Ponte,4.0,1999-08-23,Zagueiro,Botafogo-Rj
141,Mateus,Carvalho,85.0,1991-07-05,Meio-Campo,Vasco
142,Rubens,,44.0,2001-06-21,Meio-Campo,Atletico-Mg
143,Matias,Zaracho,15.0,1998-03-10,Atacante,Atletico-Mg
144,Luiz,Henrique,7.0,1999-03-18,Meio-Campo,Botafogo-Rj
145,Matheus,Mendes,31.0,1999-03-10,Goleiro,Atletico-Mg
146,Igor,Rabello,16.0,1995-04-28,Zagueiro,Atletico-Mg
147,Evertton,Araujo,52.0,1992-10-16,Meio-Campo,Flamengo
148,Lucas,Mineiro,30.0,1999-02-09,Meio-Campo,Cuiaba
149,Fabricio,Bruno,15.0,1996-02-12,Zagueiro,Flamengo
150,Joao,Lucas,2.0,1998-03-09,Zagueiro,Juventude
151,Ewerthon,Silva,14.0,1998-06-14,Zagueiro,Juventude
152,Pepe,,23.0,1998-01-06,Meio-Campo,Gremio
153,Pedro,Geromel,3.0,2000-04-15,Zagueiro,Gremio
154,Luis,Mandaca,44.0,1997-05-10,Meio-Campo,Juventude
155,Jadson,,16.0,1993-08-30,Meio-Campo,Juventude
156,Diego,Costa,19.0,1999-07-21,Atacante,Gremio
157,Gilberto,Junior,2.0,2000-05-31,Zagueiro,Bahia
158,Lepu,,97.0,1993-06-02,Zagueiro,Vitoria
159,Yannick,Bolasie,11.0,2000-05-22,Atacante,Criciuma
160,Claudinho,,27.0,2000-11-18,Zagueiro,Criciuma
161,Jose,Hurtado,34.0,2001-12-23,Zagueiro,Bragantino
162,Sabino,,35.0,1996-10-25,Zagueiro,Sao Paulo
163,Alisson,Castro,25.0,1995-08-06,Meio-Campo,Sao Paulo
164,Eduardo,Santos,3.0,1996-01-09,Zagueiro,Bragantino
165,Shaylon,,10.0,1997-04-28,Meio-Campo,Atletico-Go
166,Adriano,Martins,3.0,1998-06-06,Zagueiro,Atletico-Go
167,Leonardo,Godoy,29.0,1998-10-21,Zagueiro,Athletico-Pr
168,Lucas,Borges,16.0,1992-04-03,Meio-Campo,Cruzeiro
169,Memphis,Depay,94.0,1997-01-05,Atacante,Corinthians
170,Ramiro,,17.0,1993-05-22,Meio-Campo,Cruzeiro
171,Nikao,,11.0,1992-07-29,Meio-Campo,Athletico-Pr
172,Gustavo,Scarpa,6.0,1994-01-05,Meio-Campo,Atletico-Mg
173,Pablo,Teixeira,92.0,1998-11-13,Atacante,Athletico-Pr
174,Erick,Carvalho,26.0,1993-09-04,Meio-Campo,Athletico-Pr
175,Julimar,,20.0,2001-01-25,Meio-Campo,Athletico-Pr
176,Lucas,Moura,7.0,1998-01-21,Meio-Campo,Sao Paulo
177,Felipinho,,23.0,1998-01-07,Meio-Campo,Athletico-Pr
178,Lucas,Belezi,45.0,2003-05-08,Zagueiro,Athletico-Pr
179,Arthur,Cruz,45.0,1997-01-04,Atacante,Criciuma
180,Miguel,Trauco,14.0,1998-08-05,Zagueiro,Criciuma
181,Kaio,Jorge,9.0,1992-10-20,Atacante,Cruzeiro
182,Wilker,Angel,4.0,1998-09-02,Zagueiro,Criciuma
183,Matheus,Rossetto,16.0,1993-01-22,Meio-Campo,Fortaleza
184,Lincoln,Santos,10.0,1993-12-31,Meio-Campo,Bragantino
185,Raul,,23.0,1996-07-11,Meio-Campo,Bragantino
186,Matias,Lacava,7.0,1995-01-05,Meio-Campo,Atletico-Go
187,Kanu,,4.0,1997-03-07,Zagueiro,Bahia
188,Gabriel,Taliari,19.0,1997-04-13,Atacante,Juventude
189,Fagner,,23.0,1989-06-11,Zagueiro,Corinthians
190,Raul,Caceres,27.0,1991-09-18,Zagueiro,Vitoria
191,Luan,Santos,8.0,1997-07-25,Meio-Campo,Vitoria
192,Everaldo,,37.0,1994-05-28,Atacante,Vitoria
193,Denilson,,27.0,2001-03-23,Meio-Campo,Cuiaba
194,Gabriel,,44.0,1992-09-27,Zagueiro,Cuiaba
195,Derik,Lacerda,22.0,1993-11-10,Meio-Campo,Cuiaba
196,Mathias,Villasanti,20.0,1997-01-24,Meio-Campo,Gremio
197,Murilo,Cerqueira,26.0,1991-02-19,Zagueiro,Palmeiras
198,Estevao,,41.0,2002-02-03,Meio-Campo,Palmeiras
199,Richard,Rios,27.0,2000-06-02,Meio-Campo,Palmeiras
200,Bruno,Gomes,15.0,2001-04-04,Zagueiro,Internacional
201,Vitao,,44.0,2000-02-02,Zagueiro,Internacional
202,David,Luiz,23.0,1987-04-22,Zagueiro,Flamengo
203,Allan,,29.0,1997-03-03,Meio-Campo,Flamengo
204,Agustin,Rossi,1.0,1999-08-13,Goleiro,Flamengo
205,Lucas,Villalba,25.0,1990-12-03,Zagueiro,Cruzeiro
206,Gonzalo,Plata,45.0,1996-11-11,Meio-Campo,Flamengo
207,Alex,Silva,26.0,1994-05-15,Zagueiro,Flamengo
208,Otavio,Santos,5.0,1991-09-28,Meio-Campo,Atletico-Mg
209,Magno,Silva,2.0,1990-07-25,Zagueiro,Atletico-Go
210,Marcos,Antonio,20.0,1999-10-28,Meio-Campo,Sao Paulo
211,Felipe,Vizeu,9.0,1998-04-14,Atacante,Criciuma
212,Jonathan,Lemos,13.0,1991-02-26,Zagueiro,Criciuma
213,Joao,Victor,38.0,1999-02-25,Zagueiro,Vasco
214,Gabriel,Menino,25.0,2000-09-29,Meio-Campo,Palmeiras
215,Hugo,,46.0,2001-09-20,Meio-Campo,Corinthians
216,Anibal,Moreno,5.0,1994-07-21,Meio-Campo,Palmeiras
217,Bruno,Pacheco,6.0,1991-12-08,Zagueiro,Fortaleza
218,Ze,Marcos,3.0,1998-02-01,Zagueiro,Juventude
219,Emanuel,Britez,19.0,1992-03-26,Zagueiro,Fortaleza
220,Edson,Carioca,17.0,1998-06-04,Meio-Campo,Juventude
221,Ronaldo,Souza,96.0,1995-09-23,Meio-Campo,Juventude
222,Machado,,36.0,1996-01-20,Meio-Campo,Vitoria
223,Tomas,Cuello,28.0,2000-03-05,Meio-Campo,Athletico-Pr
224,Lucas,Arcanjo,1.0,1998-08-08,Goleiro,Vitoria
225,Yeferson,Soteldo,7.0,1997-06-30,Meio-Campo,Gremio
226,Martinelli,,8.0,2001-10-05,Meio-Campo,Fluminense
227,Kaua,Elias,19.0,2006-03-28,Atacante,Fluminense
228,Jhon,Arias,21.0,1997-09-21,Meio-Campo,Fluminense
229,Martin,Braithwaite,22.0,1995-11-02,Atacante,Gremio
230,Fabio,Maciel,1.0,1996-02-15,Goleiro,Fluminense
231,Thiago,Santos,29.0,1989-09-05,Zagueiro,Fluminense
232,Felipe,Melo,30.0,1983-08-26,Zagueiro,Fluminense
233,Agustin,Rogel,18.0,1996-01-28,Zagueiro,Internacional
234,Thaciano,,16.0,1995-05-12,Atacante,Bahia
235,Maicon,Roque,4.0,1988-09-14,Zagueiro,Vasco
236,Igor,Coronado,77.0,1994-09-20,Meio-Campo,Corinthians
237,Clayson,,25.0,1995-10-25,Meio-Campo,Cuiaba
238,Marllon,Borges,4.0,2000-07-04,Zagueiro,Cuiaba
239,Thiago,Maia,29.0,1997-03-22,Meio-Campo,Internacional
240,Eduardo,Vargas,11.0,1989-11-20,Meio-Campo,Atletico-Mg
241,Alisson,Santana,45.0,2005-09-21,Meio-Campo,Atletico-Mg
242,Bastos,,15.0,1998-10-25,Zagueiro,Botafogo-Rj
243,Fabrizio,Peralta,33.0,1995-07-09,Meio-Campo,Cruzeiro
244,Rafael,Silva,8.0,1995-05-26,Atacante,Cruzeiro
245,Derek,,9.0,1997-12-02,Atacante,Atletico-Go
246,Janderson,,17.0,1999-02-26,Atacante,Atletico-Go
247,Luiz,Felipe,4.0,1993-09-09,Zagueiro,Atletico-Go
248,Leo,Naldi,5.0,2001-08-18,Meio-Campo,Vitoria
249,Alerrandro,Souza,9.0,1996-06-18,Atacante,Vitoria
250,Davi,Goes,88.0,1997-10-18,Meio-Campo,Juventude
251,Carlos,Alcaraz,37.0,1997-07-22,Meio-Campo,Flamengo
252,Nene,,10.0,1981-07-19,Meio-Campo,Juventude
253,Giorgian,Arrascaeta,14.0,1994-06-01,Meio-Campo,Flamengo
254,Leo,Pereira,4.0,1996-01-31,Zagueiro,Flamengo
255,Juan,Lucero,9.0,1996-05-03,Atacante,Fortaleza
256,Pedro,Augusto,28.0,2003-04-28,Meio-Campo,Fortaleza
257,Kaique,Rocha,4.0,2001-02-28,Zagueiro,Athletico-Pr
258,Samuel,Xavier,2.0,1990-06-06,Zagueiro,Fluminense
259,Jean,Carlos,20.0,1992-02-15,Meio-Campo,Juventude
260,Rodrigo,Ely,5.0,1998-05-01,Zagueiro,Gremio
261,Everton,Ribeiro,10.0,1989-04-10,Meio-Campo,Bahia
262,Luciano,Juba,46.0,1999-08-29,Zagueiro,Bahia
263,Allano,,2.0,1993-01-05,Meio-Campo,Criciuma
264,Raylan,,21.0,1993-01-09,Meio-Campo,Cuiaba
265,Yuri,Alberto,9.0,2001-03-18,Atacante,Corinthians
266,Caca,,25.0,1995-08-23,Zagueiro,Corinthians
267,Bruno,Henrique,27.0,1990-12-30,Meio-Campo,Flamengo
268,Caio,Maia,39.0,2005-04-01,Atacante,Atletico-Mg
269,Breno,Lopes,26.0,1996-01-24,Atacante,Fortaleza
270,Tinga,,2.0,1993-08-01,Zagueiro,Fortaleza
271,Welington,,6.0,2001-02-19,Zagueiro,Sao Paulo
272,Hulk,,7.0,1986-07-25,Atacante,Atletico-Mg
273,Fausto,Vera,18.0,2000-03-26,Meio-Campo,Atletico-Mg
274,Gilberto,Junior,9.0,1999-09-15,Atacante,Juventude
275,Lucas,Freitas,43.0,1995-08-02,Zagueiro,Juventude
276,Maxime,Dominguez,26.0,1993-04-26,Meio-Campo,Vasco
277,Josef,Dias,5.0,1990-07-29,Meio-Campo,Vasco
278,Breno,Bidon,27.0,2005-02-20,Meio-Campo,Corinthians
279,Clayton,Sampaio,20.0,1997-06-02,Zagueiro,Internacional
280,Ricardo,Mathias,49.0,2006-07-25,Atacante,Internacional
281,Caio,Alexandre,19.0,1999-02-24,Meio-Campo,Bahia
282,Ademir,,7.0,1995-02-16,Atacante,Bahia
283,Santiago,Arias,13.0,1997-06-02,Zagueiro,Bahia
284,Neuciano,Gusmao,40.0,1994-05-13,Zagueiro,Bahia
285,Andre,Silva,17.0,1993-06-20,Atacante,Sao Paulo
286,Lucas,Silva,18.0,1993-02-16,Meio-Campo,Cuiaba
287,Robert,Arboleda,5.0,1991-10-22,Zagueiro,Sao Paulo
288,Matheus,Souza,2.0,2001-01-01,Zagueiro,Cuiaba
289,Danilo,Silva,5.0,1991-01-11,Meio-Campo,Botafogo-Rj
290,Matheus,Martins,37.0,2003-07-16,Atacante,Botafogo-Rj
291,Madson,,22.0,1992-01-13,Zagueiro,Athletico-Pr
292,Lucas,Ferrugem,4.0,1991-04-10,Zagueiro,Bragantino
293,Agustin,Giay,4.0,1996-07-11,Zagueiro,Palmeiras
294,Ivan,Cavaleiro,9.0,1993-08-11,Atacante,Bragantino
295,Bruno,Fuchs,3.0,1999-09-01,Zagueiro,Atletico-Mg
296,Joao,Santos,18.0,1997-06-04,Zagueiro,Gremio
297,Fabio,Silva,2.0,1980-12-24,Zagueiro,Gremio
298,Matheus,Souza,97.0,2001-01-01,Meio-Campo,Cruzeiro
299,Gabriel,Fuentes,31.0,1999-12-12,Zagueiro,Fluminense
300,Manoel,Carvalho,26.0,1993-12-09,Zagueiro,Fluminense
301,Walace,,20.0,2002-04-27,Meio-Campo,Cruzeiro
302,Victor,Hugo,20.0,2004-05-11,Meio-Campo,Fluminense
303,Marcelo,Junior,12.0,1999-11-13,Zagueiro,Fluminense
304,Alejo,Cruz,6.0,1999-05-06,Zagueiro,Atletico-Go
305,Pedro,Rangel,1.0,2000-06-29,Goleiro,Atletico-Go
306,Mateo,Gamarra,15.0,1999-08-06,Zagueiro,Athletico-Pr
307,Gabriel,Barbosa,99.0,1996-08-30,Atacante,Flamengo
308,Enner,Valencia,13.0,1995-06-15,Atacante,Internacional
309,Leonardo,Pinheiro,3.0,1995-05-14,Zagueiro,Vasco
310,Emerson,Rodriguez,17.0,1995-10-03,Meio-Campo,Vasco
311,Angel,Romero,11.0,1995-06-25,Atacante,Corinthians
312,Charles,Matos,8.0,1996-09-27,Meio-Campo,Corinthians
313,Alan,Franco,28.0,1998-08-21,Zagueiro,Sao Paulo
314,Jonathan,Calleri,9.0,1993-09-23,Atacante,Sao Paulo
315,Pedro,Konzen,16.0,1998-01-07,Atacante,Corinthians
316,Rafinha,,13.0,1985-09-07,Zagueiro,Sao Paulo
317,Nahuel,Ferraresi,32.0,1998-11-19,Zagueiro,Sao Paulo
318,Erick,,33.0,1997-11-14,Atacante,Sao Paulo
319,Ronaldo,,1.0,1991-04-10,Goleiro,Atletico-Go
320,Diogo,Barbosa,6.0,1992-08-17,Zagueiro,Fluminense
321,Jhon,,6.0,2002-09-09,Meio-Campo,Bragantino
322,Luis,Oyama,5.0,1998-12-31,Meio-Campo,Juventude
323,Douglas,Mendes,39.0,1988-04-10,Zagueiro,Bragantino
324,Fabricio,,37.0,2001-02-23,Goleiro,Bragantino
325,Walter,Kannemann,4.0,1991-03-14,Zagueiro,Gremio
326,Igor,Jesus,99.0,2003-03-07,Atacante,Botafogo-Rj
327,Marlon,Freitas,17.0,1995-03-27,Meio-Campo,Botafogo-Rj
328,Fabinho,,35.0,2002-04-09,Meio-Campo,Palmeiras
329,Sergio,Palacios,13.0,1999-10-01,Zagueiro,Bragantino
330,Luan,Candido,36.0,2001-02-02,Zagueiro,Bragantino
331,Matheus,Cardoso,17.0,1998-07-14,Meio-Campo,Criciuma
332,Ronald,,6.0,1997-06-18,Meio-Campo,Criciuma
333,Walisson,,33.0,1997-09-23,Zagueiro,Criciuma
334,Gabriel,Franco,3.0,1992-04-06,Meio-Campo,Athletico-Pr
335,Tobias,Figueiredo,29.0,1999-08-21,Zagueiro,Criciuma
336,Carlinhos,,22.0,1986-11-29,Atacante,Flamengo
337,William,Gomes,39.0,2006-03-15,Atacante,Sao Paulo
338,Rodrigo,Nestor,11.0,2000-08-09,Meio-Campo,Sao Paulo
339,Joao,Marcelo,43.0,1997-04-15,Zagueiro,Cruzeiro
340,Weverton,Silva,21.0,1994-04-25,Goleiro,Palmeiras
341,Arthur,Sousa,27.0,2003-03-12,Atacante,Bragantino
342,Jose,Welison,17.0,1995-01-09,Meio-Campo,Fortaleza
343,Danilo,Neves,6.0,1994-10-21,Meio-Campo,Botafogo-Rj
344,Joel,Campbell,10.0,1999-11-05,Meio-Campo,Atletico-Go
345,Matheus,Paulo,30.0,1996-06-07,Meio-Campo,Vitoria
346,Janderson,,39.0,1999-02-26,Atacante,Vitoria
347,Gabriel,Carvalho,34.0,1996-10-12,Meio-Campo,Internacional
348,Michel,Araujo,15.0,1996-09-28,Meio-Campo,Sao Paulo
349,Dudu,,20.0,1992-01-07,Zagueiro,Criciuma
350,Caio,Paulista,16.0,1998-05-11,Zagueiro,Palmeiras
351,Guilherme,Almeida,31.0,1993-01-29,Zagueiro,Bragantino
352,Thiago,Borbas,18.0,1997-08-15,Atacante,Bragantino
353,Rodrigo,Garro,10.0,1996-04-27,Meio-Campo,Corinthians
354,Joao,Riedi,1.0,1995-10-06,Goleiro,Fortaleza
355,Joao,Cruz,57.0,1998-07-06,Meio-Campo,Athletico-Pr
356,Romulo,Zwarg,40.0,1999-02-16,Meio-Campo,Internacional
357,Rodrigo,Sam,34.0,1995-07-24,Zagueiro,Juventude
358,Damian,Bobadilla,21.0,1999-08-14,Meio-Campo,Sao Paulo
359,Thiago,Silva,3.0,1995-04-24,Zagueiro,Fluminense
360,Ayrton,Medeiros,6.0,1992-11-21,Zagueiro,Flamengo
361,Talles,Magno,43.0,1992-09-22,Meio-Campo,Corinthians
362,Felix,Torres,3.0,1998-12-31,Zagueiro,Corinthians
363,Bernard,,20.0,1991-12-31,Atacante,Atletico-Mg
364,Gustavo,Martins,53.0,2002-08-11,Zagueiro,Gremio
365,Emiliano,Rodriguez,19.0,2000-04-16,Atacante,Atletico-Go
366,Cassio,Ramos,1.0,1998-03-03,Goleiro,Cruzeiro
367,Fernando,Marcal,21.0,1991-05-21,Zagueiro,Botafogo-Rj
368,Kervin,Andrade,77.0,1996-01-10,Atacante,Fortaleza
369,Gustavinho,,22.0,2001-10-29,Meio-Campo,Bragantino
370,Patrick,Paula,85.0,1999-09-08,Meio-Campo,Criciuma
371,Bruno,Tabata,17.0,1997-03-30,Meio-Campo,Internacional
372,Japa,,77.0,1992-08-28,Meio-Campo,Cruzeiro
373,Gabriel,Mercado,25.0,1987-03-18,Zagueiro,Internacional
374,Anthoni,,24.0,2002-01-23,Goleiro,Internacional
375,Higor,Meritao,5.0,1991-01-24,Meio-Campo,Criciuma
376,Franco,Cristaldo,10.0,1998-06-06,Meio-Campo,Gremio
377,Marcelo,Hermes,22.0,1995-02-01,Meio-Campo,Criciuma
378,Hercules,,35.0,2000-10-20,Meio-Campo,Fortaleza
379,Renato,Kayzer,79.0,1991-05-06,Atacante,Fortaleza
380,Lucas,Halter,3.0,2000-05-02,Zagueiro,Botafogo-Rj
381,Marcos,Monteiro,22.0,1991-05-17,Goleiro,Bahia
382,Paulinho,,10.0,1988-07-25,Atacante,Atletico-Mg
383,Bruno,Tubarao,2.0,1995-03-05,Zagueiro,Atletico-Go
384,Jorginho,,18.0,1991-01-05,Meio-Campo,Atletico-Go
385,Dudu,Vieira,30.0,1994-02-20,Meio-Campo,Juventude
386,Danilo,Boza,4.0,1998-05-06,Zagueiro,Juventude
